month,period_start,period_end,opening_portfolio,acquisitions_principal,scheduled_principal,defaulted_principal,principal_collections,recoveries,net_credit_loss,interest_collections,closing_portfolio,opening_cash,selic_income,available_cash,fees_due,fees_paid,reinvestment_purchase_price,residual_distribution,ending_cash,collateral_value,residual_nav,subordination_ratio,waterfall_uses,flags,interest_due__SEN,interest_paid__SEN,principal_paid__SEN,closing_balance__SEN,interest_due__MEZZ,interest_paid__MEZZ,principal_paid__MEZZ,closing_balance__MEZZ,interest_due__SUB,interest_paid__SUB,principal_paid__SUB,closing_balance__SUB
11,2027-01-31,2027-02-28,100000000.0,40209794.04449463,40209794.04449463,723776.2928009033,39486017.751693726,147903.4423828125,579021.0342407227,3240600.0,100000000.0,33804209.33443551,282439.43175140314,76961169.96026345,99863.02478813265,99863.02478813265,38802451.25293732,0.0,37227547.94512394,133727547.94512394,52957547.94512394,0.39601076037717714,39733622.01513951,,687398.244284319,687398.244284319,0.0,68950000.0,143909.49312974204,143909.49312974204,0.0,11820000.0,0.0,0.0,0.0,52957547.94512394
12,2027-02-28,2027-03-31,100000000.0,40092259.645462036,40092259.645462036,721660.6736183167,39370598.97184372,140933.99047851562,577328.5388946533,3240600.0,100000000.0,37227547.94512394,311041.95880150446,80290722.86624768,99863.02478813265,99863.02478813265,38689030.557870865,0.0,40670521.54617463,137170521.54617465,56400521.546174645,0.41117086171600636,39620201.32007306,,687398.244284319,687398.244284319,0.0,68950000.0,143909.49312974204,143909.49312974204,0.0,11820000.0,0.0,0.0,0.0,56400521.546174645
13,2027-03-31,2027-04-30,100000000.0,0.0,39844252.16913223,717196.5390443802,39127055.63008785,143735.84747314453,573757.2312355042,3240600.0,60155747.83086777,40670521.54617463,339808.5392529291,83521721.56298855,99863.02478813265,99863.02478813265,0.0,1820550.800786361,0.0,58050296.656787395,58050296.656787395,1.0,83521721.56298855,,687398.244284319,687398.244284319,68950000.0,0.0,143909.49312974204,143909.49312974204,11820000.0,0.0,0.0,0.0,0.0,58050296.656787395
14,2027-04-30,2027-05-31,60155747.83086777,0.0,30057169.497013092,541029.0509462357,29516140.446066856,144755.25856018066,432823.2407569885,1949407.1642071009,30098578.333854675,0.0,0.0,31610302.868834138,79995.47545239216,79995.47545239216,0.0,31530307.393381745,0.0,29045128.09216976,29045128.09216976,1.0,31610302.868834138,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29045128.09216976
15,2027-05-31,2027-06-30,30098578.333854675,0.0,20075513.422489166,361359.241604805,19714154.18088436,144332.13472366333,289087.393283844,975374.5294868946,10023064.911365509,0.0,0.0,20833860.84509492,65008.06157548548,65008.06157548548,0.0,20768852.783519432,0.0,9672257.639467716,9672257.639467716,1.0,20833860.84509492,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9672257.639467716
16,2027-06-30,2027-07-31,10023064.911365509,0.0,10023064.911365509,180415.16840457916,9842649.74296093,143439.30780887604,144332.13472366333,324807.4415177107,0,0.0,0.0,10310896.492287517,54997.80334128481,54997.80334128481,0.0,10255898.688946232,0.0,0.0,0.0,1.0,10310896.492287517,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2027-07-31,2027-08-31,0,0.0,0.0,0.0,0.0,108205.81018924713,0.0,0.0,0,0.0,0.0,108205.81018924713,50000.0,50000.0,0.0,58205.81018924713,0.0,0.0,0.0,1.0,108205.81018924713,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2027-08-31,2027-09-30,0,0.0,0.0,0.0,0.0,72271.848320961,0.0,0.0,0,0.0,0.0,72271.848320961,50000.0,50000.0,0.0,22271.848320961,0.0,0.0,0.0,1.0,72271.848320961,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2027-09-30,2027-10-31,0,0.0,0.0,0.0,0.0,36083.03368091583,0.0,0.0,0,0.0,0.0,36083.03368091583,50000.0,36083.03368091583,0.0,0.0,0.0,0.0,0.0,1.0,36083.03368091583,fee_shortfall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2027-10-31,2027-11-30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,fee_shortfall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2027-11-30,2027-12-31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,fee_shortfall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2027-12-31,2028-01-31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,fee_shortfall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2028-01-31,2028-02-29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,fee_shortfall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2028-02-29,2028-03-31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,fee_shortfall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
